STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1/31/1941,0,,,,23,-7
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/1/1941,0,,,,28,6
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/2/1941,0.09,,,,25,11
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/3/1941,0.01,,,,24,13
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/4/1941,0,,,,24,0
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/5/1941,0,,,,32,-5
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/6/1941,0.07,,,,32,-2
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/7/1941,0.38,,,,41,32
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/8/1941,0.02,,,,40,24
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/9/1941,0,,,,27,1
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/10/1941,0,,,,22,-1
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/11/1941,0,,,,32,10
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/12/1941,0,,,,35,20
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/13/1941,0,,,,41,27
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/14/1941,0.14,,,,44,32
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/15/1941,0.01,,,,38,15
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/16/1941,0,,,,20,10
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/17/1941,0,,,,25,6
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/18/1941,0,,,,22,12
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/19/1941,0,,,,19,9
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/20/1941,0,,,,25,11
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/21/1941,0.02,,,,29,20
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/22/1941,0,,,,31,26
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/23/1941,0,,,,29,20
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/24/1941,0,,,,25,10
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/25/1941,0,,,,34,8
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/26/1941,0,,,,19,4
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/27/1941,0,,,,18,2
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",2/28/1941,0,,,,18,7
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/1/1941,0,,,,27,16
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/2/1941,0,,,,38,12
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/3/1941,0.14,,,,35,19
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/4/1941,0.02,,,,19,5
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/5/1941,0,,,,29,5
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/6/1941,0,,,,25,4
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/7/1941,0,,,,33,0
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/8/1941,0.29,,,,26,10
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/9/1941,0.2,,,,28,20
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/10/1941,0.04,,,,29,6
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/11/1941,0.42,,,,30,4
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/12/1941,0.02,,,,26,0
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/13/1941,0,,,,38,-6
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/14/1941,0,,,,45,4
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/15/1941,0,,,,44,11
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/16/1941,0,,,,46,36
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/17/1941,0.28,,,,38,9
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/18/1941,0,,,,10,-2
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/19/1941,0.24,,,,21,9
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/20/1941,0.01,,,,20,6
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/21/1941,0,,,,28,8
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/22/1941,0,,,,30,3
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/23/1941,0,,,,42,8
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/24/1941,0.02,,,,38,20
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/25/1941,0,,,,41,31
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/26/1941,0,,,,38,30
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/27/1941,0,,,,46,27
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/28/1941,0,,,,44,23
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/29/1941,0,,,,34,24
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/30/1941,0,,,,28,18
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",3/31/1941,0,,,,40,20
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/1/1941,0,,,,43,20
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/2/1941,0,,,,37,21
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/3/1941,0,,,,45,26
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/4/1941,0,,,,50,24
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/5/1941,0,,,,56,25
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/6/1941,0,,,,47,28
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/7/1941,0,,,,44,24
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/8/1941,0,,,,54,24
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/9/1941,0,,,,58,26
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/10/1941,0,,,,59,27
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/11/1941,0,,,,62,29
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/12/1941,0,,,,69,29
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/13/1941,0.2,,,,58,44
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/14/1941,0.1,,,,63,52
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/15/1941,0.01,,,,81,56
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/16/1941,0,,,,60,37
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/17/1941,0.15,,,,74,37
