"game_date","season","game_type","season_game","team","opponent","location","personal_foul","points","game_score","result","score_diff"
2007-05-24,"2006","Conf Finals",12,"CLE","DET","Away",1,19,11,"Loss",-3
2007-05-27,"2006","Conf Finals",13,"CLE","DET","Home",2,36,28.5,"Win",6
2007-05-29,"2006","Conf Finals",14,"CLE","DET","Home",0,27,24.3,"Win",4
2007-05-31,"2006","Conf Finals",15,"CLE","DET","Away",3,52,38.1,"Win",2
2007-06-02,"2006","Conf Finals",16,"CLE","DET","Home",1,20,22.1,"Win",16
2007-06-07,"2006","NBA Finals",17,"CLE","SAS","Away",1,18,5,"Loss",-9
2007-06-10,"2006","NBA Finals",18,"CLE","SAS","Away",3,25,13.6,"Loss",-11
2007-06-12,"2006","NBA Finals",19,"CLE","SAS","Home",3,25,15.9,"Loss",-3
2007-06-14,"2006","NBA Finals",20,"CLE","SAS","Home",1,28,7.8,"Loss",-1
2008-04-19,"2007","1st Round",1,"CLE","WAS","Home",1,32,26.7,"Win",7
2008-04-21,"2007","1st Round",2,"CLE","WAS","Home",2,34,29.6,"Win",30
2008-04-24,"2007","1st Round",3,"CLE","WAS","Away",3,22,12.6,"Loss",-36
2008-04-27,"2007","1st Round",4,"CLE","WAS","Away",5,40,23.2,"Win",3
2008-04-30,"2007","1st Round",5,"CLE","WAS","Home",0,40,27.4,"Loss",-1
2008-05-02,"2007","1st Round",6,"CLE","WAS","Away",2,29,33,"Win",17
2008-05-06,"2007","Conf Semis",7,"CLE","BOS","Away",4,12,-0.7,"Loss",-4
2008-05-08,"2007","Conf Semis",8,"CLE","BOS","Away",1,21,6.8,"Loss",-16
2008-05-10,"2007","Conf Semis",9,"CLE","BOS","Home",3,27,20.2,"Win",24
2008-05-12,"2007","Conf Semis",10,"CLE","BOS","Home",3,25,19.1,"Win",11
2008-05-14,"2007","Conf Semis",11,"CLE","BOS","Away",3,35,22.4,"Loss",-7
2008-05-16,"2007","Conf Semis",12,"CLE","BOS","Home",2,34,21.6,"Win",5
2008-05-18,"2007","Conf Semis",13,"CLE","BOS","Away",4,51,32.8,"Loss",-5
2009-04-18,"2008","1st Round",1,"CLE","DET","Home",1,40,35.9,"Win",18
2009-04-21,"2008","1st Round",2,"CLE","DET","Home",1,33,26.5,"Win",12
2009-04-24,"2008","1st Round",3,"CLE","DET","Away",0,25,26.5,"Win",11
2009-04-26,"2008","1st Round",4,"CLE","DET","Away",3,36,32.2,"Win",21
2009-05-05,"2008","Conf Semis",5,"CLE","ATL","Home",0,38,31.7,"Win",27
2009-05-07,"2008","Conf Semis",6,"CLE","ATL","Home",1,33,27.1,"Win",20
2009-05-09,"2008","Conf Semis",7,"CLE","ATL","Away",2,57,43.8,"Win",15
2009-05-11,"2008","Conf Semis",8,"CLE","ATL","Away",3,33,18.8,"Win",10
2009-05-20,"2008","Conf Finals",9,"CLE","ORL","Home",1,55,44.7,"Loss",-1
2009-05-22,"2008","Conf Finals",10,"CLE","ORL","Home",3,37,22.2,"Win",1
2009-05-24,"2008","Conf Finals",11,"CLE","ORL","Away",3,43,31.3,"Loss",-10
2009-05-26,"2008","Conf Finals",12,"CLE","ORL","Away",5,52,27.9,"Loss",-2
2009-05-28,"2008","Conf Finals",13,"CLE","ORL","Home",3,37,33.3,"Win",10
2009-05-30,"2008","Conf Finals",14,"CLE","ORL","Away",4,29,16.1,"Loss",-13
2010-04-17,"2009","1st Round",1,"CLE","CHI","Home",2,24,19.2,"Win",13
2010-04-19,"2009","1st Round",2,"CLE","CHI","Home",2,44,38.3,"Win",10
2010-04-22,"2009","1st Round",3,"CLE","CHI","Away",3,47,31.3,"Loss",-2
2010-04-25,"2009","1st Round",4,"CLE","CHI","Away",3,49,39.9,"Win",23
2010-04-27,"2009","1st Round",5,"CLE","CHI","Home",1,21,18.7,"Win",2
2010-05-01,"2009","Conf Semis",6,"CLE","BOS","Home",1,41,31.6,"Win",8
2010-05-03,"2009","Conf Semis",7,"CLE","BOS","Home",1,24,18.2,"Loss",-18
2010-05-07,"2009","Conf Semis",8,"CLE","BOS","Away",1,42,36.9,"Win",29
2010-05-09,"2009","Conf Semis",9,"CLE","BOS","Away",4,22,13.8,"Loss",-10
2010-05-11,"2009","Conf Semis",10,"CLE","BOS","Home",3,15,9.1,"Loss",-32
2010-05-13,"2009","Conf Semis",11,"CLE","BOS","Away",2,31,22.1,"Loss",-9
2011-04-16,"2010","1st Round",1,"MIA","PHI","Home",3,21,21.6,"Win",8
2011-04-18,"2010","1st Round",2,"MIA","PHI","Home",1,31,25.2,"Win",21
2011-04-21,"2010","1st Round",3,"MIA","PHI","Away",1,26,24.2,"Win",6
2011-04-24,"2010","1st Round",4,"MIA","PHI","Away",2,31,27.6,"Loss",-4
2011-04-27,"2010","1st Round",5,"MIA","PHI","Home",2,20,15.5,"Win",6
2011-05-01,"2010","Conf Semis",6,"MIA","BOS","Home",2,24,15.6,"Win",9
2011-05-03,"2010","Conf Semis",7,"MIA","BOS","Home",3,39,26.7,"Win",11
2011-05-07,"2010","Conf Semis",8,"MIA","BOS","Away",3,15,10.6,"Loss",-16
2011-05-09,"2010","Conf Semis",9,"MIA","BOS","Away",3,39,24.5,"Win",8
2011-05-11,"2010","Conf Semis",10,"MIA","BOS","Home",1,43,24.2,"Win",10
2011-05-15,"2010","Conf Finals",11,"MIA","CHI","Away",2,17,12.2,"Loss",-21
2011-05-18,"2010","Conf Finals",12,"MIA","CHI","Away",3,33,22,"Win",10
2011-05-22,"2010","Conf Finals",13,"MIA","CHI","Home",4,24,26.3,"Win",11
2011-05-24,"2010","Conf Finals",14,"MIA","CHI","Home",4,35,24.8,"Win",8
2011-05-26,"2010","Conf Finals",15,"MIA","CHI","Away",2,34,24.2,"Win",3
2011-05-31,"2010","NBA Finals",16,"MIA","DAL","Home",4,32,21,"Win",8
2011-06-02,"2010","NBA Finals",17,"MIA","DAL","Home",4,24,15.6,"Loss",-2
2011-06-05,"2010","NBA Finals",18,"MIA","DAL","Away",3,19,13.6,"Win",2
2011-06-07,"2010","NBA Finals",19,"MIA","DAL","Away",4,8,5.9,"Loss",-3
2011-06-09,"2010","NBA Finals",20,"MIA","DAL","Away",3,17,12.4,"Loss",-9
2011-06-12,"2010","NBA Finals",21,"MIA","DAL","Home",2,25,13.6,"Loss",-10
2012-04-28,"2011","1st Round",1,"MIA","NYK","Home",2,34,29.9,"Win",33
2012-04-30,"2011","1st Round",2,"MIA","NYK","Home",1,19,16.4,"Win",10
2012-05-03,"2011","1st Round",3,"MIA","NYK","Away",5,36,19.2,"Win",17
2012-05-06,"2011","1st Round",4,"MIA","NYK","Away",4,31,13.9,"Loss",-2
2012-05-09,"2011","1st Round",5,"MIA","NYK","Home",2,33,25.4,"Win",12
2012-05-13,"2011","Conf Semis",6,"MIA","IND","Home",1,32,29.5,"Win",9
2012-05-15,"2011","Conf Semis",7,"MIA","IND","Home",0,28,26.4,"Loss",-3
2012-05-17,"2011","Conf Semis",8,"MIA","IND","Away",1,24,12,"Loss",-19
2012-05-20,"2011","Conf Semis",9,"MIA","IND","Away",1,40,37.2,"Win",8
2012-05-22,"2011","Conf Semis",10,"MIA","IND","Home",1,34,28.6,"Win",32
2012-05-24,"2011","Conf Semis",11,"MIA","IND","Away",1,28,25,"Win",12
2012-05-28,"2011","Conf Finals",12,"MIA","BOS","Home",2,32,26.3,"Win",14
2012-05-30,"2011","Conf Finals",13,"MIA","BOS","Home",2,38,29.8,"Win",4
2012-06-01,"2011","Conf Finals",14,"MIA","BOS","Away",4,36,25.3,"Loss",-10
2012-06-03,"2011","Conf Finals",15,"MIA","BOS","Away",6,31,11.3,"Loss",-2
2012-06-05,"2011","Conf Finals",16,"MIA","BOS","Home",1,34,21.9,"Loss",-4
2012-06-07,"2011","Conf Finals",17,"MIA","BOS","Away",3,49,36.4,"Win",19
2012-06-09,"2011","Conf Finals",18,"MIA","BOS","Home",0,33,22.4,"Win",13
2012-06-12,"2011","NBA Finals",19,"MIA","OKC","Away",1,32,22.3,"Loss",-11
2012-06-14,"2011","NBA Finals",20,"MIA","OKC","Away",4,32,24.7,"Win",4
2012-06-17,"2011","NBA Finals",21,"MIA","OKC","Home",1,31,20.4,"Win",6
2012-06-19,"2011","NBA Finals",22,"MIA","OKC","Home",2,28,25.3,"Win",6
2012-06-21,"2011","NBA Finals",23,"MIA","OKC","Home",2,26,25.5,"Win",15
2013-04-21,"2012","1st Round",1,"MIA","MIL","Home",2,29,25.3,"Win",23
2013-04-23,"2012","1st Round",2,"MIA","MIL","Home",2,19,14.4,"Win",12
2013-04-25,"2012","1st Round",3,"MIA","MIL","Away",2,26,14.9,"Win",13
2013-04-28,"2012","1st Round",4,"MIA","MIL","Away",3,30,25.6,"Win",11
2013-05-06,"2012","Conf Semis",5,"MIA","CHI","Home",2,26,22.5,"Loss",-7
2013-05-08,"2012","Conf Semis",6,"MIA","CHI","Home",1,21,19.2,"Win",37
2013-05-10,"2012","Conf Semis",7,"MIA","CHI","Away",0,29,23.8,"Win",10
2013-05-13,"2012","Conf Semis",8,"MIA","CHI","Away",0,29,20.9,"Win",23
2013-05-15,"2012","Conf Semis",9,"MIA","CHI","Home",3,25,20.5,"Win",3
2013-05-22,"2012","Conf Finals",10,"MIA","IND","Home",5,34,24.1,"Win",1
2013-05-24,"2012","Conf Finals",11,"MIA","IND","Home",3,42,30.4,"Loss",-4
2013-05-26,"2012","Conf Finals",12,"MIA","IND","Away",0,22,16.6,"Win",18
2013-05-28,"2012","Conf Finals",13,"MIA","IND","Away",6,32,19.4,"Loss",-7
2013-05-30,"2012","Conf Finals",14,"MIA","IND","Home",1,36,21.7,"Win",11
2013-06-01,"2012","Conf Finals",15,"MIA","IND","Away",2,33,22.1,"Loss",-14
2013-06-03,"2012","Conf Finals",16,"MIA","IND","Home",1,34,29.2,"Win",23
2013-06-06,"2012","NBA Finals",17,"MIA","SAS","Home",0,20,20.4,"Loss",-4
2013-06-09,"2012","NBA Finals",18,"MIA","SAS","Home",2,19,17.9,"Win",19
2013-06-11,"2012","NBA Finals",19,"MIA","SAS","Away",0,17,10.3,"Loss",-36
2013-06-13,"2012","NBA Finals",20,"MIA","SAS","Away",2,35,29.6,"Win",16
2013-06-16,"2012","NBA Finals",21,"MIA","SAS","Away",1,29,21.2,"Loss",-10
2013-06-18,"2012","NBA Finals",22,"MIA","SAS","Home",3,34,25.8,"Win",3
2013-06-20,"2012","NBA Finals",23,"MIA","SAS","Home",2,47,32.5,"Win",7
2014-04-20,"2013","1st Round",1,"MIA","CHA","Home",1,35,17.8,"Win",11
2014-04-23,"2013","1st Round",2,"MIA","CHA","Home",2,34,29.9,"Win",4
2014-04-26,"2013","1st Round",3,"MIA","CHA","Away",1,32,27.8,"Win",13
2014-04-28,"2013","1st Round",4,"MIA","CHA","Away",3,33,29.8,"Win",11
2014-05-06,"2013","Conf Semis",5,"MIA","BRK","Home",2,22,17.7,"Win",21
2014-05-08,"2013","Conf Semis",6,"MIA","BRK","Home",2,22,15.4,"Win",12
2014-05-10,"2013","Conf Semis",7,"MIA","BRK","Away",2,34,25.1,"Loss",-14
2014-05-12,"2013","Conf Semis",8,"MIA","BRK","Away",5,55,39.8,"Win",6
2014-05-14,"2013","Conf Semis",9,"MIA","BRK","Home",1,33,23.1,"Win",2
2014-05-18,"2013","Conf Finals",10,"MIA","IND","Away",3,27,21.5,"Loss",-11
2014-05-20,"2013","Conf Finals",11,"MIA","IND","Away",3,24,18,"Win",4
2014-05-24,"2013","Conf Finals",12,"MIA","IND","Home",2,28,22,"Win",12
2014-05-26,"2013","Conf Finals",13,"MIA","IND","Home",3,36,27.8,"Win",12
2014-05-28,"2013","Conf Finals",14,"MIA","IND","Away",5,9,-0.1,"Loss",-3
2014-05-30,"2013","Conf Finals",15,"MIA","IND","Home",1,25,24.9,"Win",25
2014-06-05,"2013","NBA Finals",16,"MIA","SAS","Away",1,29,20,"Loss",-15
2014-06-08,"2013","NBA Finals",17,"MIA","SAS","Away",3,41,27.5,"Win",2
2014-06-10,"2013","NBA Finals",18,"MIA","SAS","Home",5,26,18.2,"Loss",-19
2014-06-12,"2013","NBA Finals",19,"MIA","SAS","Home",0,36,20.1,"Loss",-21
2014-06-15,"2013","NBA Finals",20,"MIA","SAS","Away",1,37,26.8,"Loss",-17
2015-04-19,"2014","1st Round",1,"CLE","BOS","Home",2,22,13.8,"Win",13
2015-04-21,"2014","1st Round",2,"CLE","BOS","Home",3,32,20.8,"Win",8
2015-04-23,"2014","1st Round",3,"CLE","BOS","Away",1,33,27.1,"Win",8
2015-04-26,"2014","1st Round",4,"CLE","BOS","Away",2,29,18.1,"Win",8
2015-05-04,"2014","Conf Semis",5,"CLE","CHI","Home",4,19,15.3,"Loss",-7
2015-05-06,"2014","Conf Semis",6,"CLE","CHI","Home",2,33,24.1,"Win",15
2015-05-08,"2014","Conf Semis",7,"CLE","CHI","Away",4,29,18.4,"Loss",-3
2015-05-10,"2014","Conf Semis",8,"CLE","CHI","Away",4,27,11.4,"Win",2
2015-05-12,"2014","Conf Semis",9,"CLE","CHI","Home",3,40,38.1,"Win",5
2015-05-14,"2014","Conf Semis",10,"CLE","CHI","Away",4,15,7.9,"Win",21
2015-05-20,"2014","Conf Finals",11,"CLE","ATL","Away",3,31,20,"Win",8
2015-05-22,"2014","Conf Finals",12,"CLE","ATL","Away",1,34,24.5,"Win",12
2015-05-24,"2014","Conf Finals",13,"CLE","ATL","Home",4,39,29,"Win",3
2015-05-26,"2014","Conf Finals",14,"CLE","ATL","Home",2,27,20.3,"Win",30
2015-06-04,"2014","NBA Finals",15,"CLE","GSW","Away",2,48,24.8,"Loss",-8
2015-06-07,"2014","NBA Finals",16,"CLE","GSW","Away",3,45,28.9,"Win",2
2015-06-09,"2014","NBA Finals",17,"CLE","GSW","Home",1,44,31.6,"Win",5
2015-06-11,"2014","NBA Finals",18,"CLE","GSW","Home",5,22,11.4,"Loss",-21
2015-06-14,"2014","NBA Finals",19,"CLE","GSW","Away",5,46,30.7,"Loss",-13
2015-06-16,"2014","NBA Finals",20,"CLE","GSW","Home",3,36,20.2,"Loss",-8
2016-04-17,"2015","1st Round",1,"CLE","DET","Home",3,22,24.8,"Win",5
2016-04-20,"2015","1st Round",2,"CLE","DET","Home",3,31,19.5,"Win",17
2016-04-22,"2015","1st Round",3,"CLE","DET","Away",2,22,9.7,"Win",10
2016-04-24,"2015","1st Round",4,"CLE","DET","Away",4,24,19,"Win",2
2016-05-02,"2015","Conf Semis",5,"CLE","ATL","Home",3,29,23.6,"Win",11
2016-05-04,"2015","Conf Semis",6,"CLE","ATL","Home",4,35,22.6,"Win",25
2016-05-06,"2015","Conf Semis",7,"CLE","ATL","Away",2,26,21.7,"Win",13
2016-05-08,"2015","Conf Semis",8,"CLE","ATL","Away",2,23,14.9,"Win",1
2016-05-17,"2015","Conf Finals",9,"CLE","TOR","Home",3,24,21.4,"Win",31
2016-05-19,"2015","Conf Finals",10,"CLE","TOR","Home",2,23,25.1,"Win",19
2016-05-21,"2015","Conf Finals",11,"CLE","TOR","Away",3,26,21.2,"Loss",-15
2016-05-23,"2015","Conf Finals",12,"CLE","TOR","Away",3,31,31.2,"Loss",-6
2016-05-25,"2015","Conf Finals",13,"CLE","TOR","Home",2,27,21.6,"Win",38
2016-05-27,"2015","Conf Finals",14,"CLE","TOR","Away",2,39,29.2,"Win",26
2016-06-02,"2015","NBA Finals",15,"CLE","GSW","Away",2,27,20.9,"Loss",-15
2016-06-05,"2015","NBA Finals",16,"CLE","GSW","Away",3,21,15.1,"Loss",-33
2016-06-08,"2015","NBA Finals",17,"CLE","GSW","Home",2,34,23.5,"Win",30
2016-06-10,"2015","NBA Finals",18,"CLE","GSW","Home",4,27,21.2,"Loss",-11
2016-06-13,"2015","NBA Finals",19,"CLE","GSW","Away",1,49,39.2,"Win",15
2016-06-16,"2015","NBA Finals",20,"CLE","GSW","Home",3,47,42.5,"Win",14
2016-06-19,"2015","NBA Finals",21,"CLE","GSW","Away",1,29,23.1,"Win",4
2017-04-15,"2016","1st Round",1,"CLE","IND","Home",3,36,31.7,"Win",1
2017-04-17,"2016","1st Round",2,"CLE","IND","Home",2,25,20.1,"Win",6
2017-04-20,"2016","1st Round",3,"CLE","IND","Away",4,53,35.4,"Win",5
2017-04-23,"2016","1st Round",4,"CLE","IND","Away",1,35,26.3,"Win",4
2017-05-01,"2016","Conf Semis",5,"CLE","TOR","Home",2,39,28.2,"Win",11
2017-05-03,"2016","Conf Semis",6,"CLE","TOR","Home",3,47,36,"Win",22
2017-05-05,"2016","Conf Semis",7,"CLE","TOR","Away",1,39,29.9,"Win",21
2017-05-07,"2016","Conf Semis",8,"CLE","TOR","Away",1,45,25.2,"Win",7
2017-05-17,"2016","Conf Finals",9,"CLE","BOS","Away",2,40,33.6,"Win",13
2017-05-19,"2016","Conf Finals",10,"CLE","BOS","Away",1,38,32.2,"Win",44
2017-05-21,"2016","Conf Finals",11,"CLE","BOS","Home",2,11,3.6,"Loss",-3
2017-05-23,"2016","Conf Finals",12,"CLE","BOS","Home",4,36,21.5,"Win",13
2017-05-25,"2016","Conf Finals",13,"CLE","BOS","Away",4,43,34.9,"Win",33
2017-06-01,"2016","NBA Finals",14,"CLE","GSW","Away",4,32,19.1,"Loss",-22
2017-06-04,"2016","NBA Finals",15,"CLE","GSW","Away",2,31,32.8,"Loss",-19
2017-06-07,"2016","NBA Finals",16,"CLE","GSW","Home",2,47,32.4,"Loss",-5
2017-06-09,"2016","NBA Finals",17,"CLE","GSW","Home",2,37,27.7,"Win",21
2017-06-12,"2016","NBA Finals",18,"CLE","GSW","Away",3,45,36.2,"Loss",-9
2018-04-15,"2017","1st Round",1,"CLE","IND","Home",2,24,23.8,"Loss",-18
2018-04-18,"2017","1st Round",2,"CLE","IND","Home",1,50,40.9,"Win",3
2018-04-20,"2017","1st Round",3,"CLE","IND","Away",1,36,21.5,"Loss",-2
2018-04-22,"2017","1st Round",4,"CLE","IND","Away",3,32,29.8,"Win",4
2018-04-25,"2017","1st Round",5,"CLE","IND","Home",3,46,38.1,"Win",3
2018-04-27,"2017","1st Round",6,"CLE","IND","Away",3,28,17.2,"Loss",-34
2018-04-29,"2017","1st Round",7,"CLE","IND","Home",4,49,38.8,"Win",4
2018-05-01,"2017","Conf Semis",8,"CLE","TOR","Away",2,28,20.8,"Win",1
2018-05-03,"2017","Conf Semis",9,"CLE","TOR","Away",1,45,41.6,"Win",18
2018-05-05,"2017","Conf Semis",10,"CLE","TOR","Home",1,40,31,"Win",2
2018-05-07,"2017","Conf Semis",11,"CLE","TOR","Home",2,29,29.3,"Win",35
2018-05-13,"2017","Conf Finals",12,"CLE","BOS","Away",1,15,7.8,"Loss",-25
2018-05-15,"2017","Conf Finals",13,"CLE","BOS","Away",3,52,31.4,"Loss",-13
2018-05-19,"2017","Conf Finals",14,"CLE","BOS","Home",3,33,30.5,"Win",30
2018-05-21,"2017","Conf Finals",15,"CLE","BOS","Home",3,46,27.4,"Win",9
2018-05-23,"2017","Conf Finals",16,"CLE","BOS","Away",2,28,15.3,"Loss",-13
2018-05-25,"2017","Conf Finals",17,"CLE","BOS","Home",2,56,38.8,"Win",10
2018-05-27,"2017","Conf Finals",18,"CLE","BOS","Away",4,41,24.4,"Win",8
2018-05-31,"2017","NBA Finals",19,"CLE","GSW","Away",2,57,41.3,"Loss",-10
2018-06-03,"2017","NBA Finals",20,"CLE","GSW","Away",2,33,26.6,"Loss",-19
2018-06-06,"2017","NBA Finals",21,"CLE","GSW","Home",2,35,28.7,"Loss",-8
2018-06-08,"2017","NBA Finals",22,"CLE","GSW","Home",5,23,16.7,"Loss",-23
2020-08-18,"2019","1st Round",1,"LAL","POR","Home",1,25,25.1,"Loss",-7
2020-08-20,"2019","1st Round",2,"LAL","POR","Home",1,10,6.2,"Win",23
2020-08-22,"2019","1st Round",3,"LAL","POR","Away",3,46,30.2,"Win",8
2020-08-24,"2019","1st Round",4,"LAL","POR","Away",2,38,31.9,"Win",20
2020-08-29,"2019","1st Round",5,"LAL","POR","Home",1,44,34.6,"Win",9
2020-09-04,"2019","Conf Semis",6,"LAL","HOU","Home",2,24,16.2,"Loss",-15
2020-09-06,"2019","Conf Semis",7,"LAL","HOU","Home",3,30,25.7,"Win",8
2020-09-08,"2019","Conf Semis",8,"LAL","HOU","Away",1,44,30.5,"Win",10
2020-09-10,"2019","Conf Semis",9,"LAL","HOU","Away",2,16,15.9,"Win",10
2020-09-12,"2019","Conf Semis",10,"LAL","HOU","Home",2,35,26.1,"Win",23
2020-09-18,"2019","Conf Finals",11,"LAL","DEN","Home",2,15,16.1,"Win",12
2020-09-20,"2019","Conf Finals",12,"LAL","DEN","Home",2,32,17.1,"Win",2
2020-09-22,"2019","Conf Finals",13,"LAL","DEN","Away",1,32,27.2,"Loss",-8
2020-09-24,"2019","Conf Finals",14,"LAL","DEN","Away",2,28,22.9,"Win",6
2020-09-26,"2019","Conf Finals",15,"LAL","DEN","Home",2,40,37.3,"Win",10
2020-09-30,"2019","NBA Finals",16,"LAL","MIA","Home",3,29,24.7,"Win",18
2020-10-02,"2019","NBA Finals",17,"LAL","MIA","Home",2,39,30.6,"Win",10
2020-10-04,"2019","NBA Finals",18,"LAL","MIA","Away",2,27,17.8,"Loss",-11
2020-10-06,"2019","NBA Finals",19,"LAL","MIA","Away",2,32,23.4,"Win",6
2020-10-09,"2019","NBA Finals",20,"LAL","MIA","Home",1,52,39.1,"Loss",-3
2020-10-11,"2019","NBA Finals",21,"LAL","MIA","Away",3,30,29.2,"Win",13
