album,track_name,line,lyric,element,element_artist
Taylor Swift,Picture To Burn,18,So watch me strike a match on all my wasted time,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,19,"As far as I'm concerned, you're just another picture to burn",Chorus,Taylor Swift
Taylor Swift,Picture To Burn,20,"And if you're missing me, you'd better keep it to yourself",Bridge,Taylor Swift
Taylor Swift,Picture To Burn,21,'Cause coming back around here would be bad for your health,Bridge,Taylor Swift
Taylor Swift,Picture To Burn,22,'Cause I hate that stupid old pickup truck you never let me drive,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,23,You're a redneck heartbreak who's really bad at lying,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,24,So watch me strike a match on all my wasted time,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,25,In case you haven't heard,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,26,I really really hate that,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,27,Stupid old pickup truck you never let me drive,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,28,"You're a redneck heartbreak, who's really bad at lying",Chorus,Taylor Swift
Taylor Swift,Picture To Burn,29,So watch me strike a match on all my wasted time,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,30,"As far as I'm concerned, you're just another picture to burn",Chorus,Taylor Swift
Taylor Swift,Picture To Burn,31,"Burn, burn, burn, baby, burn",Outro,Taylor Swift
Taylor Swift,Picture To Burn,32,You're just another picture to burn,Outro,Taylor Swift
Taylor Swift,Picture To Burn,33,"Baby, burn",Outro,Taylor Swift
Taylor Swift,Teardrops On My Guitar,1,Drew looks at me,Verse 1,Taylor Swift
Taylor Swift,Teardrops On My Guitar,2,I fake a smile so he won't see,Verse 1,Taylor Swift
Taylor Swift,Teardrops On My Guitar,3,That I want and I'm needing,Verse 1,Taylor Swift
Taylor Swift,Teardrops On My Guitar,4,Everything that we should be,Verse 1,Taylor Swift
Taylor Swift,Teardrops On My Guitar,5,"I'll bet she's beautiful, that girl he talks about",Pre-Chorus 1,Taylor Swift
Taylor Swift,Teardrops On My Guitar,6,And she's got everything that I have to live without,Pre-Chorus 1,Taylor Swift
Taylor Swift,Teardrops On My Guitar,7,Drew talks to me,Verse 2,Taylor Swift
Taylor Swift,Teardrops On My Guitar,8,I laugh 'cause it's so damn funny,Verse 2,Taylor Swift
