"name","gender","country","sport","birth_date","height","weight","age"
"GHELBER Bianca Florentina","Female","Romania","Athletics",1990-06-01,171,0,34
"ION Diana Ana Maria","Female","Romania","Athletics",2000-11-27,168,0,23
"MELLY Joan Chelimo","Female","Romania","Athletics",1990-11-10,171,0,33
"MERINGOR Delvine Relin","Female","Romania","Athletics",1992-08-01,162,0,31
"MIKLOS Andrea","Female","Romania","Athletics",1999-04-17,167,0,25
"NOVAC Alexandru Mihaita","Male","Romania","Athletics",1997-03-24,183,0,27
"BERTEMES Bob","Male","Luxembourg","Athletics",1993-05-24,187,0,31
"ROTARU-KOTTMANN Alina","Female","Romania","Athletics",1993-06-05,175,0,31
"RUTTO Stella","Female","Romania","Athletics",1996-12-16,168,0,27
"STANCIU Daniela","Female","Romania","Athletics",1987-10-15,180,0,36
"TALOS Elena Andreea","Female","Romania","Athletics",1995-02-24,170,0,29
"TOADER Andrei Rares","Male","Romania","Athletics",1997-05-26,188,0,27
"OCAMPO Daiana","Female","Argentina","Athletics",1991-02-16,161,0,33
"ARCHIBALD Emanuel","Male","Guyana","Athletics",1994-09-09,165,0,29
"ABRAMS Aliyah","Female","Guyana","Athletics",1997-04-03,163,0,27
"ALLERS-LIBURD Zahria","Female","St Kitts and Nevis","Athletics",2002-03-06,170,0,22
"TRAORE Cheickna","Male","Côte d'Ivoire","Athletics",2000-10-21,187,0,23
"TIE Whitney","Female","Côte d'Ivoire","Athletics",1999-04-07,166,0,25
"HEALY Sarah","Female","Ireland","Athletics",2001-02-13,162,0,23
"McCANN Luke","Male","Ireland","Athletics",1998-03-12,185,0,26
"McCORMACK Fionnuala","Female","Ireland","Athletics",1984-09-24,185,0,39
"GBAI Jessika","Female","Côte d'Ivoire","Athletics",1998-12-29,167,0,25
"SEMEDO Gorete","Female","Sao Tome & Principe","Athletics",1996-10-05,168,0,27
"ATAIDE Manuel","Male","Timor-Leste","Athletics",2001-03-09,176,0,23
"CLARKE Roshawn","Male","Jamaica","Athletics",2004-07-01,188,0,20
"CHHUN Bunthorn","Male","Cambodia","Athletics",1993-05-31,170,0,31
"NOOR ZAHI Sha Mahmood","Male","Afghanistan","Athletics",1991-03-21,179,0,33
"FAVORS Eric","Male","Ireland","Athletics",1996-11-16,181,0,27
"TUTHILL Nicola","Female","Ireland","Athletics",2003-12-22,196,0,20
"HARRISON Roisin","Female","Ireland","Athletics",1996-10-10,171,0,27
"MANNING Cliodhna","Female","Ireland","Athletics",1995-04-26,180,0,29
"ADELEKE Rhasidat","Female","Ireland","Athletics",2002-08-29,183,0,21
"RAMAKONGOANA Tebello","Male","Lesotho","Athletics",1996-10-13,0,0,27
"HOYE YENDA MOUKOULA Wissy Frank","Male","Gabon","Athletics",1996-09-29,177,0,27
"FORBES Shashalee","Female","Jamaica","Athletics",1996-05-10,160,0,28
"MURILLO Maria Lucelly","Female","Colombia","Athletics",1991-05-05,172,0,33
"ZAMBRANO Anthony Jose","Male","Colombia","Athletics",1998-01-17,184,0,26
"DALMERO Arnovis","Male","Colombia","Athletics",2000-09-23,179,0,23
"ORTEGA Mauricio","Male","Colombia","Athletics",1994-08-04,185,0,29
"AGUILAR Evelis","Female","Colombia","Athletics",1993-01-03,173,0,31
"ARAUJO Martha","Female","Colombia","Athletics",1996-05-12,172,0,28
"HERRERA Cesar","Male","Colombia","Athletics",1999-01-18,169,0,25
"MATSENJWA Sibusiso","Male","Eswatini","Athletics",1988-05-02,182,0,36
"KUSHARE Sarvesh Anil","Male","India","Athletics",1995-06-17,172,0,29
"KURIAN Mijo Chacko","Male","India","Athletics",1995-07-16,175,0,29
"VARIYATHODI Muhammed Ajmal","Male","India","Athletics",1998-06-01,176,0,26
"YAHIYA Muhammed Anas","Male","India","Athletics",1994-09-17,176,0,29
"RAMESH Rajesh","Male","India","Athletics",1999-03-28,174,0,25
"TAMILARASAN Santhosh Kumar","Male","India","Athletics",1998-01-01,176,0,26
"SABLE Avinash Mukund","Male","India","Athletics",1994-09-13,165,0,29
"NARANGOLINTEVIDA Abdulla","Male","India","Athletics",1996-01-17,176,0,28
"SINGH Vikash","Male","India","Athletics",1996-07-06,178,0,28
"BISHT Paramjeet Singh","Male","India","Athletics",2002-03-03,175,0,22
"SINGH Akshdee","Male","India","Athletics",1999-11-22,178,0,24
"PANWAR Suraj","Male","India","Athletics",2001-04-02,174,0,23
"TOOR Tajinderpal Singh","Male","India","Athletics",1994-11-13,190,0,29
"JENA Kishore","Male","India","Athletics",1995-09-06,178,0,28
"VENKATESAN Subha","Female","India","Athletics",1999-08-31,170,0,24
"DANDI Jyothika Sri","Female","India","Athletics",2000-07-16,170,0,24
"ANKITA","Female","India","Athletics",2002-02-05,160,0,22
"RAFTERY Jack","Male","Ireland","Athletics",2001-04-26,201,0,23
"BARR Thomas","Male","Ireland","Athletics",1992-07-24,183,0,32
"O'CONNOR Kate","Female","Ireland","Athletics",2000-12-12,174,0,23
"O'DONNELL Christopher","Male","Ireland","Athletics",1998-05-17,183,0,26
"CHAUDHARY Parul","Female","India","Athletics",1995-04-15,162,0,29
"KIRAN Pahal","Female","India","Athletics",2000-08-05,172,0,23
"RANI Annu","Female","India","Athletics",1992-08-29,162,0,31
"PRACHI","Female","India","Athletics",1996-12-20,172,0,27
"GARCIA Eduardo Terrance","Male","Virgin Islands, US","Athletics",1992-11-20,180,0,31
"van der WEKEN Patrizia","Female","Luxembourg","Athletics",1999-11-12,173,0,24
"SISSOKO Fode","Male","Mali","Athletics",1996-10-09,180,0,27
"McGRORY Kelly","Female","Ireland","Athletics",1996-12-24,171,0,27
"JACKSON Shericka","Female","Jamaica","Athletics",1994-07-16,173,0,30
"HIEBERT Xenia","Female","Paraguay","Athletics",1998-11-13,166,0,25
"ALMIRON Cesar","Male","Paraguay","Athletics",2001-08-06,180,0,22
