drive_id,drive_start,drive_end
2018_06_IND_NYJ_11,Fumble,Touchdown
2016_04_OAK_BAL_21,Fumble,Touchdown
2021_04_HOU_BUF_20,Fumble,Touchdown
2021_15_ATL_SF_12,Fumble,Touchdown
2021_12_ATL_JAX_7,Fumble,Touchdown
2016_15_SF_ATL_4,Fumble,Touchdown
2016_05_CIN_DAL_14,Fumble,Touchdown
2021_08_NYG_KC_17,Fumble,Touchdown
2016_12_NE_NYJ_9,Fumble,Touchdown
2021_06_KC_WAS_11,Fumble,Touchdown
2019_13_MIN_SEA_20,Fumble,Touchdown
2019_03_CAR_ARI_2,Fumble,Touchdown
2021_05_NO_WAS_6,Fumble,Touchdown
2017_08_CHI_NO_18,Fumble,Touchdown
2020_14_NO_PHI_19,Fumble,Touchdown
2018_03_LAC_LA_12,Fumble,Touchdown
2020_03_CAR_LAC_9,Fumble,Touchdown
2017_12_DEN_OAK_8,Fumble,Turnover
2021_02_BUF_MIA_10,Fumble,Turnover
2020_03_LV_NE_5,Fumble,Turnover
2021_01_NYJ_CAR_7,Fumble,Turnover
2019_15_MIA_NYG_13,Fumble,Turnover
2020_08_DAL_PHI_3,Fumble,Turnover
2016_06_DAL_GB_5,Fumble,Turnover
2017_03_CLE_IND_20,Fumble,Turnover
2020_13_JAX_MIN_18,Fumble,Turnover
2019_14_WAS_GB_11,Fumble,Turnover
2017_16_DEN_WAS_23,Fumble,Turnover
2016_02_MIA_NE_10,Fumble,Turnover
2017_10_NYG_SF_6,Fumble,Turnover
2019_06_CAR_TB_31,Interception,Field Goal
2017_08_DEN_KC_25,Interception,Field Goal
2021_09_MIN_BAL_10,Interception,Field Goal
2017_15_LAC_KC_14,Interception,Field Goal
2016_07_BAL_NYJ_15,Interception,Field Goal
2018_04_PHI_TEN_12,Interception,Field Goal
2020_13_BUF_SF_13,Interception,Field Goal
2019_08_LAC_CHI_16,Interception,Field Goal
2020_02_DEN_PIT_14,Interception,Field Goal
2019_15_SEA_CAR_17,Interception,Field Goal
2020_03_DET_ARI_14,Interception,Field Goal
2017_04_PIT_BAL_13,Interception,Field Goal
2019_16_HOU_TB_3,Interception,Field Goal
2020_03_CAR_LAC_11,Interception,Field Goal
2017_11_PHI_DAL_6,Interception,Field Goal
2018_01_TEN_MIA_23,Interception,Field Goal
2020_10_DEN_LV_17,Interception,Field Goal
2016_17_CAR_TB_6,Interception,Field Goal
2019_04_CIN_PIT_18,Interception,Field Goal
2016_01_CLE_PHI_11,Interception,Field Goal
2021_03_BAL_DET_19,Interception,Field Goal
2020_17_ATL_TB_12,Interception,Field Goal
2019_08_WAS_MIN_14,Interception,Field Goal
2020_06_WAS_NYG_12,Interception,Field Goal
2017_04_NO_MIA_2,Interception,Field Goal
2019_10_MIA_IND_3,Interception,Field Goal
2021_17_LA_BAL_6,Interception,Field Goal
2018_01_CIN_IND_3,Interception,Field Goal
2017_05_ARI_PHI_13,Interception,Field Goal
2016_16_WAS_CHI_7,Interception,Field Goal
2021_12_NYJ_HOU_2,Interception,Field Goal
2017_03_CLE_IND_21,Interception,Field Goal
2021_11_NYG_TB_14,Interception,Field Goal
2021_04_CAR_DAL_18,Interception,Field Goal
2020_13_JAX_MIN_30,Interception,Field Goal
2020_06_ATL_MIN_12,Interception,Field Goal
2017_11_WAS_NO_2,Interception,Field Goal
2017_03_NO_CAR_15,Interception,Field Goal
2019_09_DAL_NYG_11,Interception,Field Goal
2016_01_CIN_NYJ_4,Interception,Field Goal
2017_07_WAS_PHI_20,Interception,Field Goal
2019_09_IND_PIT_2,Interception,Field Goal
2018_03_IND_PHI_14,Interception,Field Goal
2018_06_LAC_CLE_24,Interception,Field Goal
2017_07_NYJ_MIA_26,Interception,Field Goal
2019_13_LAC_DEN_19,Interception,Field Goal
2019_11_CIN_OAK_14,Interception,Field Goal
2021_08_NE_LAC_12,Interception,Field Goal
2019_10_SEA_SF_28,Interception,Field Goal
2016_02_SF_CAR_30,Interception,Field Goal
2021_15_MIN_CHI_10,Interception,Field Goal
2016_12_SD_HOU_16,Interception,Field Goal
2018_05_BAL_CLE_3,Interception,Field Goal
2017_17_CAR_ATL_15,Interception,Field Goal
2019_05_GB_DAL_22,Interception,Field Goal
2021_06_BUF_TEN_6,Interception,Field Goal
2021_10_BUF_NYJ_4,Interception,Field Goal
