county_id,county_state,metro,ruc,economic,population,no_hs,high_school,some_college,bachelor,poverty,minor_poverty,home_income
2463,"Hardeman County,TN",No,6,3,25899,0.209,0.476,0.201,0.114,0.235,0.288,37834
2464,"Hardin County,TN",No,6,3,25789,0.196,0.429,0.236,0.139,0.203,0.293,37690
2465,"Hawkins County,TN",Yes,2,3,56595,0.163,0.432,0.265,0.14,0.184,0.276,42188
2466,"Haywood County,TN",No,6,3,17975,0.179,0.451,0.244,0.126,0.205,0.308,39574
2467,"Henderson County,TN",No,6,3,27940,0.188,0.402,0.272,0.138,0.18,0.232,43491
2468,"Henry County,TN",No,7,0,32278,0.14,0.472,0.218,0.171,0.188,0.294,43159
2469,"Hickman County,TN",Yes,1,0,24673,0.203,0.445,0.242,0.11,0.163,0.242,44684
2470,"Houston County,TN",No,8,0,8211,0.232,0.461,0.201,0.106,0.167,0.252,44688
2471,"Humphreys County,TN",No,6,3,18379,0.155,0.467,0.244,0.133,0.136,0.203,48056
2472,"Jackson County,TN",No,8,0,11630,0.215,0.468,0.226,0.09,0.198,0.296,37563
2473,"Jefferson County,TN",Yes,3,0,52996,0.155,0.389,0.291,0.164,0.138,0.209,49611
2474,"Johnson County,TN",No,6,0,17858,0.204,0.419,0.263,0.113,0.207,0.279,35778
2475,"Knox County,TN",Yes,2,0,452562,0.09,0.258,0.285,0.367,0.132,0.152,55874
2476,"Lake County,TN",No,9,4,7583,0.265,0.438,0.193,0.104,0.365,0.412,33709
2477,"Lauderdale County,TN",No,6,0,26582,0.23,0.446,0.237,0.088,0.249,0.346,38849
2478,"Lawrence County,TN",No,6,0,42827,0.175,0.448,0.252,0.125,0.177,0.247,43651
2479,"Lewis County,TN",No,6,0,11986,0.154,0.413,0.318,0.115,0.175,0.248,40541
2480,"Lincoln County,TN",No,6,3,33675,0.169,0.407,0.237,0.188,0.144,0.184,51249
2481,"Loudon County,TN",Yes,2,0,51129,0.143,0.338,0.256,0.263,0.091,0.16,58186
2482,"McMinn County,TN",No,4,3,52738,0.152,0.426,0.263,0.158,0.159,0.218,46029
2483,"McNairy County,TN",No,6,3,25940,0.19,0.442,0.24,0.127,0.174,0.223,39859
2484,"Macon County,TN",Yes,1,0,23292,0.212,0.462,0.226,0.1,0.181,0.26,42265
2485,"Madison County,TN",Yes,3,0,97763,0.117,0.345,0.279,0.259,0.178,0.289,46651
2486,"Marion County,TN",Yes,2,0,28401,0.189,0.395,0.3,0.116,0.153,0.235,50819
2487,"Marshall County,TN",No,6,3,32058,0.152,0.422,0.283,0.143,0.141,0.199,51868
2488,"Maury County,TN",Yes,1,0,88301,0.106,0.358,0.318,0.218,0.108,0.152,57337
2489,"Meigs County,TN",No,8,3,11927,0.155,0.454,0.285,0.105,0.178,0.266,50565
2490,"Monroe County,TN",No,6,3,45611,0.211,0.402,0.26,0.128,0.157,0.23,45566
2491,"Montgomery County,TN",Yes,2,0,192212,0.075,0.291,0.362,0.272,0.12,0.166,56102
2492,"Moore County,TN",No,9,3,6338,0.144,0.42,0.229,0.207,0.091,0.141,58234
2493,"Morgan County,TN",Yes,2,4,21668,0.187,0.503,0.236,0.073,0.204,0.269,40397
2494,"Obion County,TN",No,7,3,30732,0.166,0.448,0.237,0.149,0.177,0.256,42532
2495,"Overton County,TN",No,7,0,22021,0.204,0.452,0.212,0.131,0.15,0.208,42149
2496,"Perry County,TN",No,8,0,7914,0.258,0.355,0.272,0.115,0.176,0.264,41960
2497,"Pickett County,TN",No,9,5,5084,0.237,0.409,0.267,0.087,0.16,0.243,40182
2498,"Polk County,TN",Yes,3,5,16790,0.197,0.391,0.302,0.11,0.158,0.224,41968
2499,"Putnam County,TN",No,4,0,75709,0.14,0.37,0.236,0.254,0.145,0.187,45512
2500,"Rhea County,TN",No,6,4,32476,0.217,0.371,0.26,0.152,0.184,0.272,44132
2501,"Roane County,TN",Yes,2,0,53175,0.118,0.371,0.316,0.195,0.148,0.22,54440
2502,"Robertson County,TN",Yes,1,3,68992,0.125,0.389,0.3,0.186,0.106,0.154,66006
2503,"Rutherford County,TN",Yes,1,3,299704,0.088,0.283,0.31,0.32,0.104,0.118,64170
2504,"Scott County,TN",No,6,0,21999,0.212,0.45,0.244,0.094,0.212,0.266,35685
2505,"Sequatchie County,TN",Yes,2,0,14634,0.175,0.392,0.288,0.146,0.16,0.256,49707
2506,"Sevier County,TN",No,4,5,95244,0.161,0.364,0.304,0.171,0.139,0.23,47202
2507,"Shelby County,TN",Yes,1,0,934981,0.118,0.275,0.295,0.311,0.217,0.332,47924
2508,"Smith County,TN",Yes,1,0,19465,0.149,0.469,0.259,0.124,0.139,0.188,50704
2509,"Stewart County,TN",No,8,4,13323,0.144,0.425,0.283,0.149,0.139,0.222,46565
2510,"Sullivan County,TN",Yes,2,3,156684,0.134,0.347,0.29,0.228,0.165,0.246,46024
2511,"Sumner County,TN",Yes,1,0,176467,0.101,0.311,0.319,0.269,0.089,0.117,66171
2512,"Tipton County,TN",Yes,1,0,61373,0.131,0.385,0.317,0.167,0.12,0.185,60874
2513,"Trousdale County,TN",Yes,1,5,9288,0.198,0.348,0.285,0.168,0.186,0.205,49280
2514,"Unicoi County,TN",Yes,3,3,17906,0.154,0.405,0.293,0.148,0.161,0.241,43688
2515,"Union County,TN",Yes,2,3,19260,0.238,0.46,0.217,0.085,0.198,0.275,40322
2516,"Van Buren County,TN",No,9,4,5696,0.201,0.498,0.215,0.085,0.163,0.277,38265
2517,"Warren County,TN",No,6,3,40340,0.209,0.43,0.221,0.14,0.225,0.353,42475
2518,"Washington County,TN",Yes,3,4,126409,0.114,0.288,0.275,0.324,0.149,0.18,49242
2519,"Wayne County,TN",No,8,4,16779,0.203,0.444,0.241,0.112,0.213,0.276,38879
2520,"Weakley County,TN",No,7,4,33872,0.157,0.38,0.248,0.215,0.197,0.223,42351
2521,"White County,TN",No,7,3,26460,0.178,0.434,0.252,0.135,0.173,0.246,42603
2522,"Williamson County,TN",Yes,1,0,212857,0.044,0.135,0.23,0.59,0.038,0.035,115930
2523,"Wilson County,TN",Yes,1,0,129655,0.088,0.299,0.306,0.306,0.078,0.099,76507
2524,"Anderson County,TX",No,7,4,57932,0.199,0.362,0.321,0.117,0.198,0.226,45969
2525,"Andrews County,TX",No,6,2,17283,0.254,0.367,0.275,0.104,0.107,0.14,84946
2526,"Angelina County,TX",No,5,0,87371,0.189,0.319,0.329,0.163,0.179,0.267,46653
2527,"Aransas County,TX",Yes,2,5,24420,0.151,0.297,0.334,0.217,0.199,0.347,46912
2528,"Archer County,TX",Yes,3,2,8822,0.09,0.333,0.343,0.234,0.106,0.143,61190
2529,"Armstrong County,TX",Yes,2,1,1884,0.116,0.244,0.408,0.232,0.107,0.153,57210
2530,"Atascosa County,TX",Yes,1,2,48187,0.227,0.399,0.241,0.133,0.157,0.239,50594
2531,"Austin County,TX",Yes,1,3,29361,0.169,0.293,0.302,0.235,0.102,0.169,59942
2532,"Bailey County,TX",No,7,1,7105,0.259,0.352,0.211,0.177,0.158,0.261,45051
2533,"Bandera County,TX",Yes,1,5,21544,0.107,0.318,0.337,0.238,0.134,0.228,53008
2534,"Bastrop County,TX",Yes,1,0,80973,0.19,0.294,0.313,0.204,0.126,0.192,61883
2535,"Baylor County,TX",No,8,0,3611,0.115,0.325,0.363,0.197,0.161,0.286,41180
2536,"Bee County,TX",No,6,4,32531,0.263,0.349,0.287,0.102,0.267,0.32,41806
2537,"Bell County,TX",Yes,2,0,336708,0.094,0.259,0.401,0.245,0.13,0.191,54292
2538,"Bexar County,TX",Yes,1,0,1888907,0.162,0.252,0.31,0.276,0.172,0.237,54210
2539,"Blanco County,TX",No,8,5,11124,0.093,0.287,0.348,0.271,0.101,0.172,64832
2540,"Borden County,TX",No,8,1,655,0.069,0.261,0.32,0.35,0.1,0.145,66101
2541,"Bosque County,TX",No,6,1,18121,0.149,0.357,0.308,0.185,0.149,0.24,48460
2542,"Bowie County,TX",Yes,3,4,93242,0.118,0.348,0.335,0.199,0.191,0.255,47339
2543,"Brazoria County,TX",Yes,1,0,346634,0.123,0.253,0.327,0.297,0.101,0.131,74225
2544,"Brazos County,TX",Yes,3,4,214921,0.133,0.196,0.262,0.408,0.232,0.202,50113
2545,"Brewster County,TX",No,7,4,9222,0.147,0.204,0.255,0.394,0.16,0.212,45670
2546,"Briscoe County,TX",No,9,1,1535,0.135,0.334,0.304,0.227,0.162,0.243,44409
2547,"Brooks County,TX",No,7,4,7177,0.299,0.275,0.249,0.176,0.31,0.486,30116
2548,"Brown County,TX",No,5,0,37844,0.139,0.357,0.311,0.193,0.132,0.212,47097
2549,"Burleson County,TX",Yes,3,2,17736,0.175,0.392,0.262,0.171,0.148,0.237,53626
2550,"Burnet County,TX",No,6,5,45193,0.119,0.311,0.319,0.251,0.11,0.186,56696
2551,"Caldwell County,TX",Yes,1,0,40802,0.212,0.373,0.267,0.148,0.141,0.207,52588
2552,"Calhoun County,TX",No,6,3,21707,0.193,0.333,0.325,0.15,0.142,0.24,52085
2553,"Callahan County,TX",Yes,3,1,13731,0.118,0.38,0.311,0.191,0.12,0.202,50330
2554,"Cameron County,TX",Yes,2,0,418397,0.328,0.26,0.24,0.173,0.279,0.402,38106
2555,"Camp County,TX",No,6,0,12726,0.155,0.357,0.302,0.186,0.188,0.305,43714
2556,"Carson County,TX",Yes,2,3,6056,0.064,0.288,0.344,0.304,0.089,0.122,64799
2557,"Cass County,TX",No,6,0,30143,0.145,0.433,0.258,0.164,0.204,0.32,44154
2558,"Castro County,TX",No,6,1,7804,0.262,0.322,0.268,0.148,0.175,0.242,45689
2559,"Chambers County,TX",Yes,1,3,39348,0.127,0.291,0.367,0.215,0.085,0.109,89513
2560,"Cherokee County,TX",No,6,0,51661,0.207,0.315,0.31,0.169,0.174,0.246,43483
2561,"Childress County,TX",No,7,4,7199,0.161,0.389,0.277,0.173,0.212,0.254,42291
2562,"Clay County,TX",Yes,3,2,10445,0.094,0.395,0.326,0.186,0.109,0.169,58356
2563,"Cochran County,TX",No,9,1,2942,0.323,0.309,0.286,0.082,0.219,0.318,42873
2564,"Coke County,TX",No,8,2,3276,0.161,0.351,0.317,0.171,0.141,0.214,44804
