PROPERTY TYPE,CITY,ZIP,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET
Single Family Residential,Washington,20011,499900,3,1.5,1071,6000,1951,467
Single Family Residential,Washington,20011,680000,3,2,1360,3226,1900,500
Townhouse,Washington,20010,1295000,5,3.5,3043,1375,1909,426
Single Family Residential,Washington,20020,579000,3,2.5,1672,5143,2006,346
Townhouse,Washington,20032,354900,3,2.5,1224,2529,1947,290
Single Family Residential,Washington,20001,1200000,3,2.5,2074,3780,1907,579
Townhouse,Washington,20001,1149999,3,3.5,2437,,1923,472
Townhouse,Washington,20011,785000,6,4,2712,4150,1936,289
Townhouse,Washington,20743,179900,2,1,1020,3500,1950,176
Townhouse,Washington,20011,599900,2,2,,,1922,
Townhouse,Washington,20002,399900,2,1,800,1600,1940,500
Single Family Residential,Washington,20019,375500,4,2,976,6940,1948,385
Townhouse,Washington,20017,499000,3,1.5,1212,3420,1939,412
Townhouse,Washington,20019,250000,3,1,1024,3046,1940,244
Single Family Residential,Washington,20018,511000,1,1,1582,2961,1940,323
Single Family Residential,Washington,20011,899995,3,3.5,2700,4644,1936,333
Townhouse,Washington,20007,1295000,3,3,1156,987,1888,1120
Townhouse,Washington,20010,949999,4,3.5,1370,1600,1915,693
Single Family Residential,Washington,20019,399000,3,1.5,1116,5000,1957,358
Townhouse,Washington,20002,780000,3,2.5,1880,,1905,415
Single Family Residential,Washington,20007,2295000,7,5.5,3225,6131,1931,712
Single Family Residential,Washington,20007,1034000,4,2,1441,5344,1925,718
Townhouse,Washington,20018,575000,4,3.5,1786,1742,2016,322
Townhouse,Washington,20017,799900,3,2,1628,3709,1926,491
Townhouse,Washington,20010,999999,4,2.5,1734,1654,1908,577
Single Family Residential,Washington,20019,99900,1,1,,1577,1901,
Townhouse,Washington,20003,759900,3,1,1420,1324,1909,535
Townhouse,Washington,20001,949900,3,3.5,2244,1153,1906,423
Townhouse,Washington,20009,1795000,5,4,3200,897,1900,561
Townhouse,Washington,20002,395000,2,1,780,825,1942,506
Townhouse,Washington,20002,520000,3,2,1200,929,1922,433
Townhouse,Washington,20003,675000,3,1.5,1366,949,1915,494
Townhouse,Washington,20002,570000,5,3,1332,1764,1913,428
Single Family Residential,Washington,20015,929000,4,2.5,1654,5375,1929,562
Single Family Residential,Washington,20011,558000,4,2.5,1887,6184,1950,296
Single Family Residential,Washington,20017,1250000,5,4.5,3725,4089,1940,336
Townhouse,Washington,20002,924900,4,3.5,2937,2513,1924,315
Townhouse,Washington,20745,204900,3,1.5,1530,4341,1951,134
Townhouse,Washington,20032,489000,3,3,2100,3852,2015,233
Townhouse,Washington,20002,519900,2,2,1203,,1930,432
Townhouse,Washington,20010,619900,2,2,843,,2017,735
Single Family Residential,Washington,20019,215000,2,1,464,2600,1926,463
Townhouse,Washington,20002,1175000,5,4.5,3140,1600,1910,374
Townhouse,Washington,20011,499000,3,2.5,2263,2920,1934,221
Single Family Residential,Washington,20008,1750000,4,4,5839,15830,1932,300
Townhouse,Washington,20010,599900,2,2,877,,2017,684
Townhouse,Washington,20020,385200,3,2,1664,1518,1905,231
Townhouse,Washington,20001,899999,3,3.5,1314,1276,1925,685
Townhouse,Washington,20018,375000,3,2.5,1920,,1979,195
Townhouse,Washington,20015,1095000,3,3,3050,1166,1998,359
Townhouse,Washington,20011,799000,4,3.5,1820,1620,1925,439
Single Family Residential,Washington,20019,309000,2,1,920,3860,1930,336
Townhouse,Washington,20011,900000,4,3,1800,3701,1924,500
Townhouse,Washington,20011,625000,4,3.5,1054,1409,1925,593
Single Family Residential,Washington,20019,35000,1,1,,1770,2018,
Townhouse,Washington,20017,660000,7,2,1284,2295,1925,514
Townhouse,Washington,20010,1325000,4,3.5,2640,2310,1922,502
Townhouse,Washington,20746,235000,3,3.5,1376,1500,1995,171
Townhouse,Washington,20001,899999,3,3.5,2370,,1923,380
Townhouse,Washington,20009,1095000,2,2.5,1610,,2016,680
Townhouse,Washington,20010,769000,3,3.5,1634,,1909,471
Single Family Residential,Washington,20020,299000,3,1,1280,3144,1911,234
Townhouse,Washington,20011,798500,4,3.5,1560,2000,1978,512
Single Family Residential,Washington,20016,789900,4,2.5,1120,2404,1952,705
Townhouse,Washington,20032,499000,3,3.5,2444,2444,2016,204
Townhouse,Washington,20032,290000,4,2.5,1224,1226,1977,237
Townhouse,Washington,20009,899975,3,1.5,1322,1125,1890,681
Townhouse,Washington,20019,276000,3,1,1024,1600,1952,270
Townhouse,Washington,20011,659000,2,1,1376,1355,1914,479
Townhouse,Washington,20011,514900,4,3.5,1584,3113,1955,325
Single Family Residential,Washington,20002,620000,6,3,1560,3750,1905,397
Townhouse,Washington,20024,1250000,3,2.5,1801,,1966,694
Townhouse,Washington,20002,725000,4,3,1994,1620,1926,364
Townhouse,Washington,20019,320000,3,2,1248,1240,1945,256
Townhouse,Washington,20003,699900,3,2.5,1600,,1925,437
Single Family Residential,Washington,20019,345000,3,2.5,2074,3600,1926,166
Townhouse,Washington,20011,710000,4,3.5,1817,2565,1927,391
Townhouse,Washington,20010,859000,4,2.5,1312,1650,1908,655
Townhouse,Washington,20007,2195000,4,4.5,2650,1665,1900,828
Townhouse,Washington,20002,589900,3,2.5,1737,1325,1926,340
Townhouse,Washington,20011,569000,3,2.5,1536,3165,1951,370
Townhouse,Washington,20017,555900,4,2.5,1500,2493,1947,371
Single Family Residential,Washington,20019,425000,3,2.5,1787,6893,1956,238
Townhouse,Washington,20009,1390000,5,4.5,2429,1378,1920,572
Townhouse,Washington,20010,849900,2,2.5,1594,896,1925,533
Townhouse,Washington,20032,235000,2,1,896,1120,1977,262
Townhouse,Washington,20745,253140,3,1.5,1610,2031,2017,157
Townhouse,Washington,20745,268660,3,1.5,,3525,2017,
Single Family Residential,Washington,20020,437000,4,3,1392,7757,1964,314
Single Family Residential,Washington,20016,1450000,7,3.5,2448,14038,1976,592
Townhouse,Washington,20011,630000,3,3,1670,1588,1932,377
Single Family Residential,Washington,20020,399000,4,2.5,2298,6143,1934,174
Single Family Residential,Washington,20018,539900,4,1.5,1399,3528,1931,386
Townhouse,Washington,20003,649900,2,2.5,960,986,1924,677
Townhouse,Washington,20001,1500000,7,5.5,3300,2089,1900,455
Single Family Residential,Washington,20012,499999,3,1,1412,3600,1930,354
Single Family Residential,Washington,20008,2070000,6,6.5,5006,6860,1932,414
Single Family Residential,Washington,20018,575000,3,3.5,1150,3492,1927,500
Townhouse,Washington,20001,1099000,3,2.5,1925,1998,2011,571
Townhouse,Washington,20001,574900,2,2,1050,,1930,548
Townhouse,Washington,20032,300000,5,2,2027,,1949,148
Townhouse,Washington,20009,398750,1,1,822,,1910,485
Townhouse,Washington,20019,399999,3,2,1330,4480,1958,301
Single Family Residential,Washington,20743,82000,3,1,1220,5750,1919,67
Townhouse,Washington,20011,449000,3,1.5,1920,1973,1928,234
Townhouse,Washington,20003,690000,3,2.5,1200,1006,1925,575
Townhouse,Washington,20002,699000,3,2,,836,1912,
Townhouse,Washington,20032,240000,2,1,832,2750,1942,288
Townhouse,Washington,20007,2595000,4,4.5,2582,1953,1900,1005
Townhouse,Washington,20011,875000,3,3.5,2864,1576,1926,306
Townhouse,Washington,20001,939000,3,3.5,1857,1200,1909,506
Single Family Residential,Washington,20019,325000,3,1.5,1288,4342,1908,252
Townhouse,Washington,20010,785000,4,2.5,1490,2334,1907,527
Townhouse,Washington,20018,540000,4,3.5,1900,2060,2007,284
Townhouse,Washington,20007,1299000,3,1.5,,728,1820,
Townhouse,Washington,20011,899999,4,3,2064,1345,1923,436
Townhouse,Washington,20002,665900,4,2.5,2175,1167,1905,306
Single Family Residential,Washington,20018,659900,3,3,2200,2131,1925,300
Townhouse,Washington,20009,579900,2,1,1090,,1905,532
Townhouse,Washington,20007,1699000,4,3,2158,1164,1938,787
Townhouse,Washington,20011,749999,4,3.5,928,1312,1925,808
Townhouse,Washington,20020,319000,2,1.5,864,1825,1953,369
Townhouse,Washington,20009,3400000,8,9,4200,1983,1913,810
Townhouse,Washington,20745,189900,3,2,1512,2001,1950,126
Single Family Residential,Washington,20016,2675000,6,6.5,1918,6047,1925,1395
Townhouse,Washington,20002,799000,3,3,1917,892,1923,417
Townhouse,Washington,20002,849900,3,3,1510,,1910,563
Townhouse,Washington,20032,330000,4,2,1224,1530,1948,270
Townhouse,Washington,20018,584900,4,2.5,1640,1720,2015,357
Townhouse,Washington,20019,332000,2,1.5,884,2015,1950,376
Townhouse,Washington,20011,549000,3,1,1368,1670,1923,401
Townhouse,Washington,20011,869000,5,3.5,2440,1975,1920,356
Single Family Residential,Washington,20019,265000,3,1.5,1920,10586,1911,138
Townhouse,Washington,20010,775000,4,3.5,1360,1400,1912,570
Townhouse,Washington,20002,680000,4,3.5,1476,1947,1927,461
Single Family Residential,Washington,20016,1599000,5,2,2532,3871,1901,632
Single Family Residential,Washington,20011,465000,3,2,1248,2835,1949,373
Townhouse,Washington,20001,795000,4,2,1384,1375,1910,574
Townhouse,Washington,20003,1099000,4,2.5,1954,850,1890,562
Townhouse,Washington,20032,335000,2,2.5,800,1907,1941,419
Townhouse,Washington,20011,749000,5,3.5,,1400,1925,
Single Family Residential,Washington,20743,224900,2,2,1116,4400,1948,202
Single Family Residential,Washington,20011,769800,3,3.5,2038,1440,1920,378
Townhouse,Washington,20001,799900,3,2.5,1404,998,1900,570
Single Family Residential,Washington,20011,499500,3,2.5,1088,2685,1955,459
Townhouse,Washington,20011,779000,3,1.5,1320,2785,1916,590
Townhouse,Washington,20011,489999,4,2,1054,1965,1926,465
Single Family Residential,Washington,20007,1495000,5,3.5,3255,7753,1984,459
Single Family Residential,Washington,20018,700000,3,2,1426,5298,1938,491
Single Family Residential,Washington,20032,480000,5,3.5,2062,13047,2006,233
Single Family Residential,Washington,20008,1375000,5,3.5,4320,7546,1962,318
Single Family Residential,Washington,20020,569900,3,1.5,1512,4950,1940,377
Townhouse,Washington,20002,950000,6,3,2872,1751,1905,331
Townhouse,Washington,20011,550000,3,2,1420,1802,1923,387
Townhouse,Washington,20019,250000,4,2,1548,2660,1946,161
Townhouse,Washington,20020,299900,2,2,900,1476,1937,333
Single Family Residential,Washington,20032,245000,3,1.5,1040,3750,1926,236
Single Family Residential,Washington,20017,799000,6,3.5,2284,2300,1952,350
Single Family Residential,Washington,20020,899999,4,5,3892,6447,1937,231
Townhouse,Washington,20003,1299000,3,4,1888,1280,2017,688
Townhouse,Washington,20011,474999,3,1.5,1088,2068,1951,437
Townhouse,Washington,20020,325000,2,1.5,2160,1360,2008,150
Townhouse,Washington,20002,989500,5,3.5,2751,1646,1921,360
Townhouse,Washington,20011,739990,5,3.5,2022,2361,1938,366
Townhouse,Washington,20010,950000,3,2,1900,1490,1921,500
Single Family Residential,Washington,20019,459000,3,1.5,1551,4500,1938,296
Townhouse,Washington,20007,1875000,4,3.5,3335,1208,1900,562
Single Family Residential,Washington,20018,630000,5,3,1123,4692,1926,561
Single Family Residential,Washington,20011,375000,4,2.5,1667,3125,1942,225
Townhouse,Washington,20002,625000,2,2,928,1315,1926,673
Townhouse,Washington,20011,699000,4,3,1398,2340,1923,500
Townhouse,Washington,20003,710000,3,2,1318,1479,1925,539
Townhouse,Washington,20011,449000,3,1.5,1088,2893,1951,413
Single Family Residential,Washington,20018,499000,3,1,1128,3760,1927,442
Single Family Residential,Washington,20019,384900,3,2,1452,5072,1939,265
Single Family Residential,Washington,20007,4495000,5,5,6890,14312,2016,652
Townhouse,Washington,20010,949999,3,3,2131,,1901,446
