track,artist,genre,release_date,year,word_count,unique_words
"Baby, I'm Back",Baby Bash,dance_pop,2005,2005,687,202
family ties (with Kendrick Lamar),Baby Keem,hip_hop,2021-09-10,2021,394,254
Daft Pretty Boys,Bad Suns,rock,2016-09-16,2016,358,123
Don't Hate Me,Badflower,rock,2021-09-24,2021,409,161
Friends,Band Of Skulls,rock,2009-10-09,2009,231,96
Fire,Barns Courtney,rock,2017-09-29,2017,207,68
Tribe (with J. Cole),Bas,hip_hop,2018-08-24,2018,576,390
Paradise,Bazzi,dance_pop,2019-08-09,2019,365,175
feel something,Bea Miller,dance_pop,2019-06-21,2019,408,95
Feel It In The Air,Beanie Sigel,hip_hop,2005-01-01,2005,669,310
Sacrifice,Bebe Rexha,dance_pop,2021-05-07,2021,282,97
E-Pro,Beck,rock,2005-01-01,2005,287,118
MAMIII,Becky G,dance_pop,2022-02-11,2022,504,236
Remember (and David Guetta),Becky Hill,dance_pop,2021-08-27,2021,338,117
Rosa Pastel,Belanova,dance_pop,2005-01-01,2005,188,99
Luz Sin Gravedad,Belinda,dance_pop,2006,2006,177,90
Satisfaction - Isaak Original,Benny Benassi,dance_pop,2003,2003,82,20
3:30 In Houston,Benny The Butcher,hip_hop,2020-12-11,2020,596,304
Just Thought You Should Know,Betty Who,dance_pop,2019-02-15,2019,398,120
Halo,Beyoncé,dance_pop,2008,2008,434,127
Many of Horror,Biffy Clyro,rock,2009-11-06,2009,228,104
Fake ID (feat. Gretchen Wilson),Big & Rich,country,2011-05-17,2011,351,123
All Night,Big Boi,hip_hop,2017-06-16,2017,646,227
Pick Up The Pace,Big K.R.I.T.,hip_hop,2021-04-16,2021,517,174
Deadly Combination,Big L,hip_hop,2016-07-15,2016,409,268
Beware,Big Sean,hip_hop,2013-01-01,2013,733,318
Call It Like I See It,Big Time Rush,dance_pop,2021-12-13,2021,401,160
Get Your Roll On,Big Tymers,hip_hop,2000-01-01,2000,391,187
Soul Sista,Bilal,hip_hop,2001-01-01,2001,369,144
Day And Night - StarGate Mix,Billie Piper,dance_pop,2000-01-01,2000,356,97
Good Directions,Billy Currington,country,2005-01-01,2005,311,166
Let Them Be Little,Billy Dean,country,2005-03-29,2005,233,107
One Voice,Billy Gilman,country,2000-06-14,2000,172,107
Reality Check,Binary Star,hip_hop,2017-06-02,2017,594,388
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,Bingo Players,dance_pop,2012-12-08,2012,262,119
Vapors,Biz Markie,hip_hop,2009-06-11,2009,799,392
Pump It,Black Eyed Peas,dance_pop,2005-01-01,2005,547,230
Stillborn,Black Label Society,rock,2003-04-22,2003,131,46
What It's Worth,Black Milk,hip_hop,2014-10-28,2014,489,288
Pick Your Poison,Black Pistol Fire,rock,2021-01-29,2021,355,144
Spread Your Love,Black Rebel Motorcycle Club,rock,2001-01-01,2001,243,46
Whoa!,Black Rob,hip_hop,2000,2000,675,314
Blame It on the Boom Boom,Black Stone Cherry,rock,2011-01-01,2011,373,115
Conception,Black Thought,hip_hop,2018-11-26,2018,522,256
In The End,Black Veil Brides,rock,2012-01-01,2012,317,101
I'm Not Strong Enough to Say No,BlackHawk,country,2016-07-08,2016,305,117
Make You Feel That Way,Blackalicious,hip_hop,2002-01-01,2002,752,247
Waiting for the Thunder,Blackberry Smoke,rock,2016-10-14,2016,261,116
Come Back As A Country Boy,Blake Shelton,country,2021-12-03,2021,341,122
Helicopter,Bloc Party,rock,2005-01-01,2005,253,127
Your Girlfriend,Blossoms,rock,2020-01-31,2020,223,143
Dancing In The Rain,Blu,hip_hop,2007-08-07,2007,641,297
O Heaven,Blu & Exile,hip_hop,2012-09-04,2012,434,276
Best In Me,Blue,dance_pop,2001-11-26,2001,278,108
Girls & Boys,Blur,rock,2000-10-23,2000,303,94
Rock This Party - Everybody Dance Now,Bob Sinclar,dance_pop,2006-08-22,2006,813,249
"Slow Down - 12"" Version",Bobby V.,hip_hop,2005-01-01,2005,481,156
Hot Water Tank,Boldy James,hip_hop,2021-12-17,2021,464,308
Fight Like A Girl,Bomshel,country,2009-10-20,2009,273,150
Mop Wit It,Boosie Badazz,hip_hop,2020-02-14,2020,802,252
Like You (feat. Ciara),Bow Wow,hip_hop,2005,2005,695,228
1985,Bowling For Soup,rock,2004,2004,335,166
Whiskey Lullaby (feat. Alison Krauss),Brad Paisley,country,2003-01-01,2003,364,136
Look into My Eyes,Brando,dance_pop,2020-01-10,2020,392,98
Love Again,Brandy,dance_pop,2020-07-31,2020,479,329
The Weekend,Brantley Gilbert,country,2017-01-27,2017,365,136
HOT HOT,Bree Runway,dance_pop,2021-03-31,2021,457,133
Dead Man Walking,Brent Faiyaz,hip_hop,2020-09-18,2020,375,185
Want That Back,Brett Eldredge,country,2022-01-14,2022,284,114
In Case You Didn't Know,Brett Young,country,2017-02-10,2017,276,109
Hurricane,Bridgit Mendler,dance_pop,2012-01-01,2012,523,159
Can You Feel My Heart,Bring Me The Horizon,rock,2013-04-01,2013,250,77
Gimme More,Britney Spears,dance_pop,2007-10-25,2007,433,169
Good Luck,Broken Bells,rock,2019-09-27,2019,161,107
XXXTC (feat. Charli XCX & Maliibu Miitch),Brooke Candy,dance_pop,2019-10-25,2019,381,283
About Us,Brooke Hogan,dance_pop,2006-10-17,2006,633,222
Boot Scootin' Boogie,Brooks & Dunn,country,2009-09-08,2009,221,137
Uncle Sam Goddamn,Brother Ali,hip_hop,2007-04-10,2007,695,347
I'm Not For Everyone,Brothers Osborne,country,2020-10-09,2020,304,130
Smokin Out The Window,Bruno Mars,dance_pop,2021-11-11,2021,482,218
Act Naturally,Buck Owens,country,2010-08-31,2010,224,88
Crazy Bitch,Buckcherry,rock,2006-04-11,2006,425,109
A Different World,Bucky Covington,country,2007-04-17,2007,161,109
Help Pour Out the Rain (Lacey's Song),Buddy Jewell,country,2003-07-01,2003,335,153
Get Throwed,Bun B,hip_hop,2005,2005,708,348
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,hip_hop,2002-11-05,2002,545,325
Year 3000,Busted,dance_pop,2002-01-01,2002,357,127
Short Skirt / Long Jacket,CAKE,rock,2001-07-23,2001,259,128
Drive,CHASE WRIGHT,country,2021-11-05,2021,382,126
Break in the Action,CZARFACE,hip_hop,2021-05-07,2021,512,324
Come a Little Closer,Cage The Elephant,rock,2013-10-08,2013,284,106
Summer,Calvin Harris,dance_pop,2014-10-31,2014,139,48
Burning House,Cam,country,2015-12-11,2015,277,111
My Oh My (feat. DaBaby),Camila Cabello,dance_pop,2019-12-06,2019,440,238
Oh Boy,Cam’ron,hip_hop,2002-01-01,2002,591,309
Love You Like That,Canaan Smith,country,2015-06-23,2015,312,121
On the Road Again,Canned Heat,rock,2009-01-01,2009,218,94
Invincible,Capone-N-Noreaga,hip_hop,2000-11-21,2000,601,344
WAP (feat. Megan Thee Stallion),Cardi B,dance_pop,2020-08-07,2020,286,162
I Hope You’re Happy Now,Carly Pearce,country,2020-02-14,2020,274,122
I Really Like You,Carly Rae Jepsen,dance_pop,2015,2015,527,140
Billions,Caroline Polachek,dance_pop,2022-02-09,2022,353,87
Complicated,Carolyn Dawn Johnson,country,2000-12-29,2000,264,140
Before He Cheats,Carrie Underwood,country,2005-11-14,2005,291,119
Evacuate The Dancefloor,Cascada,dance_pop,2009-01-01,2009,534,166
Tied Up (feat. DeJ Loaf),Casey Veggies,hip_hop,2015-09-25,2015,594,204
I Found You,Cash Cash,dance_pop,2020-02-28,2020,245,91
Quit (feat. Ariana Grande),Cashmere Cat,dance_pop,2017-04-28,2017,420,290
Wasting All These Tears,Cassadee Pope,country,2013-01-01,2013,263,93
Long Way 2 Go,Cassie,dance_pop,2006-08-07,2006,691,159
7,Catfish and the Bottlemen,rock,2016-05-27,2016,330,83
Yes!,Chad Brock,country,2000,2000,273,129
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,hip_hop,2016-05-27,2016,658,331
Pyramid (feat. Iyaz),Charice,dance_pop,2010-05-07,2010,572,211
Boom Clap,Charli XCX,dance_pop,2014-10-21,2014,395,106
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance_pop,2015-11-05,2015,302,214
Joke's On You,Charlotte Lawrence,dance_pop,2020-01-17,2020,248,106
Eyes On You,Chase Rice,country,2017-11-17,2017,367,148
Lean On Me,Cheat Codes,dance_pop,2021-05-07,2021,391,133
Want U Back,Cher Lloyd,dance_pop,2011-11-07,2011,578,182
Call My Name,Cheryl,dance_pop,2012-01-01,2012,317,75
Send the Pain Below,Chevelle,rock,2002,2002,205,71
Love Sosa,Chief Keef,hip_hop,2012-01-01,2012,652,248
Redbone,Childish Gambino,hip_hop,2016-12-02,2016,299,124
Right Thurr,Chingy,hip_hop,2003-01-01,2003,839,272
"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",Chloe x Halle,dance_pop,2020-09-04,2020,546,383
No Guidance (feat. Drake),Chris Brown,dance_pop,2019-06-28,2019,105,80
Chicks Dig It - Single Edit,Chris Cagle,country,2003-01-01,2003,325,143
Nearly Forgot My Broken Heart,Chris Cornell,rock,2015-09-18,2015,307,132
Good Vibes,Chris Janson,country,2019-10-18,2019,337,114
"Big, Big Plans",Chris Lane,country,2019-06-28,2019,446,147
Famous Friends,Chris Young,country,2021-08-06,2021,308,128
Santo,Christina Aguilera,dance_pop,2022-01-20,2022,410,203
AM To PM,Christina Milian,dance_pop,2001,2001,592,157
A Thousand Years,Christina Perri,dance_pop,2011-10-18,2011,235,92
Stealing Cinderella,Chuck Wicks,country,2008,2008,300,137
"One, Two Step (feat. Missy Elliott)",Ciara,dance_pop,2004-09-27,2004,429,267
T-Shirt Weather,Circa Waves,rock,2015-03-30,2015,238,111
Act Up,City Girls,dance_pop,2018-11-16,2018,550,265
She Won't Be Lonely Long,Clay Walker,country,2010-06-08,2010,253,101
Symphony (feat. Zara Larsson),Clean Bandit,dance_pop,2018-11-30,2018,358,248
Like The Rain,Clint Black,country,2003,2003,380,136
Grindin',Clipse,hip_hop,2002-04-01,2002,626,319
Nice to Meet You,Cody Simpson,dance_pop,2022-01-25,2022,221,129
Fallin' For You,Colbie Caillat,dance_pop,2009,2009,371,105
What You Got,Colby O'Donis,dance_pop,2008-01-01,2008,702,199
What You Say,Cold War Kids,rock,2021-09-24,2021,391,120
Single Saturday Night,Cole Swindell,country,2020-05-22,2020,390,165
When Country Comes Back,Colt Ford,country,2021-05-28,2021,281,121
Be (Intro),Common,hip_hop,2005-01-01,2005,230,168
Streiht Up Menace,Compton's Most Wanted,hip_hop,2001-01-23,2001,575,274
Stay (Sing off vs. Tayler Holder),Conor Maynard,dance_pop,2021-08-27,2021,508,289
John Woo Flick (with Benny The Butcher & Westside Gunn),Conway the Machine,hip_hop,2022-02-04,2022,567,391
Chronicles (feat. H.E.R. & Lil Durk),Cordae,hip_hop,2022-01-14,2022,560,389
Valuable Lessons,Cormega,hip_hop,2014-07-22,2014,597,325
Are You in Love With a Notion?,Courteeners,rock,2013-02-04,2013,359,129
I Play Chicken with the Train (with Big & Rich),Cowboy Troy,country,2005-05-17,2005,493,206
Fish,Craig Campbell,country,2011-04-05,2011,303,128
Walking Away,Craig David,dance_pop,2000-08-14,2000,356,121
International Harvester,Craig Morgan,country,2006-10-31,2006,372,152
My Sacrifice,Creed,rock,2001-01-01,2001,211,96
Helplessly Hoping,"Crosby, Stills & Nash",rock,2020-01-01,2020,138,100
You Can Let Go,Crystal Shawanda,country,2008-06-06,2008,293,148
Monsta,Culcha Candela,dance_pop,2009-08-28,2009,486,236
Lynguistics [Deluxe Edition],Cunninlynguists,hip_hop,2001-10-30,2001,281,214
Scottie Pippens (feat. Freddie Gibbs),Curren$y,hip_hop,2021-05-21,2021,544,327
What I Really Meant To Say,Cyndi Thomson,country,2001-01-01,2001,234,113
Thick,D.I.T.C.,hip_hop,2000-02-22,2000,495,310
Benzi Box,DANGERDOOM,hip_hop,2005-10-17,2005,310,221
In The Dark,DEV,dance_pop,2011-01-01,2011,423,116
Ma Chérie - DJ Antoine Vs Mad Mark 2K12 Radio Edit,DJ Antoine,dance_pop,2011-08-12,2011,190,76
"My Moment (feat. 2 Chainz, Meek Mill and Jeremih)",DJ Drama,hip_hop,2012-10-02,2012,596,246
For Da Love of Da Game,DJ Jazzy Jeff,hip_hop,2002-08-12,2002,762,355
POPSTAR (feat. Drake),DJ Khaled,hip_hop,2021-04-30,2021,528,333
Shit I'm On,DJ Muggs,hip_hop,2018-10-12,2018,421,241
Mortgage Free (feat. 2 Chainz),DJ Premier,hip_hop,2021-12-10,2021,584,233
Pitch In OnA Party,DJ Quik,hip_hop,2000,2000,532,318
Six Days - Remix,DJ Shadow,hip_hop,2002-01-01,2002,314,227
Let Me Love You,DJ Snake,dance_pop,2016-08-05,2016,391,107
X Gon' Give It To Ya,DMX,hip_hop,2021-12-10,2021,789,262
Truthfully,DNCE,dance_pop,2016-11-18,2016,237,113
Everybody,DON BROCO,rock,2018-02-02,2018,283,130
Sweet Disaster,DREAMERS,rock,2016-08-26,2016,245,111
This Time (Never Be Alone Again),Dada Life,dance_pop,2020-05-15,2020,75,17
"10,000 Hours (with Justin Bieber)",Dan + Shay,country,2021-08-13,2021,559,389
Never in My Wildest Dreams,Dan Auerbach,rock,2017-06-02,2017,141,76
If You're Not The One,Daniel Bedingfield,dance_pop,2002,2002,393,141
Worth It,Danielle Bradbery,country,2017-12-01,2017,229,90
Findin' A Good Man,Danielle Peck,country,2006-01-01,2006,151,98
Show Stopper,Danity Kane,dance_pop,2006-08-22,2006,671,209
I Begin to Wonder,Dannii Minogue,dance_pop,2003-01-01,2003,421,112
Grown Up,Danny Brown,hip_hop,2012-06-05,2012,313,199
Wagon Wheel,Darius Rucker,country,2013-01-01,2013,373,152
I Miss My Friend,Darryl Worley,country,2002-01-01,2002,195,87
Take Me Home Country Roads,Daryle Singletary,country,2009-06-09,2009,151,91
Handsome,Dave East,hip_hop,2020-08-14,2020,641,229
Crush,David Archuleta,dance_pop,2008-11-11,2008,466,168
Riding With Private Malone,David Ball,country,2001-09-10,2001,487,245
9MM,David Banner,hip_hop,2008,2008,766,314
Memories (feat. Kid Cudi),David Guetta,dance_pop,2009,2009,303,180
Everything's Gonna Be Alright,David Lee Murphy,country,2018-04-06,2018,315,141
Whatever She's Got,David Nail,country,2014-01-01,2014,408,148
"Sit Still, Look Pretty",Daya,dance_pop,2017-01-06,2017,535,156
Money On My Mind,Daz Dillinger,hip_hop,2006-01-01,2006,731,279
Me Myself And I,De La Soul,hip_hop,2000,2000,369,181
Mind Sex,Dead Prez,hip_hop,2000-02-08,2000,715,316
Can’t Help Myself,Dean Brody,country,2020-11-18,2020,420,137
Freeze Me,Death From Above 1979,rock,2017-09-08,2017,158,91
Get Got,Death Grips,hip_hop,2012-04-23,2012,488,261
Brazil,Declan McKenna,rock,2017-07-21,2017,389,147
Change (In the House of Flies),Deftones,rock,2000-05-16,2000,167,59
Press Rewind,Del The Funky Homosapien,hip_hop,2000-01-01,2000,620,383
Born to Try,Delta Goodrem,dance_pop,2003-03-21,2003,266,84
Time Keeps on Slipping,Deltron 3030,hip_hop,2000,2000,518,345
Heart Attack,Demi Lovato,dance_pop,2013-01-01,2013,424,168
Walkin,Denzel Curry,hip_hop,2022-01-24,2022,796,364
